Case ID;Court ID;Lawyer ssn;Client ssn;Case Value;Case Status;Case Date
86;3;251-74-8573;106-34-8045;42281;lost;2020-07-13
87;1;443-86-2818;513-57-8403;17420;lost;2020-06-19
88;2;745-11-2147;106-34-8045;55314;won;2020-06-20
89;4;295-62-2630;065-39-2466;49467;lost;2020-06-21
90;2;443-86-2818;616-05-7176;31198;lost;2020-06-24
91;3;443-86-2818;513-57-8403;21457;won;2020-06-13
92;1;443-86-2818;106-34-8045;44187;won;2020-07-13
93;2;443-86-2818;616-05-7176;24091;won;2020-06-15
94;4;370-01-4095;513-57-8403;61919;won;2020-06-02
95;4;295-62-2630;065-39-2466;64802;won;2020-05-26
96;2;251-74-8573;616-05-7176;27149;won;2020-06-16
97;1;149-44-5404;407-02-9374;90859;lost;2020-08-18
98;2;370-01-4095;616-05-7176;73584;won;2020-05-26
99;3;370-01-4095;065-39-2466;60047;won;2020-08-13
100;4;293-64-6251;616-05-7176;35498;lost;2020-08-14
